,,,
Rank,Name,Username,Follower Count
1,Abdullahi is my name btw,@itsyaboymaina,10.4M
2,choctiv,@choctiv,7.4M
3,Eks Sam,@eks_samm,4.4M
4,??????? ??????,@kiss_aka_me,3.1M
5,Tiwa Savage,@tiwasavage,2.9M
6,Lilly,@mrsmosquito,2.8M
7,??????????? ?????? ??,@phunglai2222,2.8M
8,John merry,@beeautygoddess,2.7M
9,GGBDANCECREW,@ggbdancecrew,2.2M
10,VICTOR IVYIC,@victor_ivyic,2M
11,Joybasareal on IG ??????,@joysaa,2M
12,Diva Sensations,@divasensations,1.9M
13,Subtain Sibi,@subtainsibi,1.9M
14,Funke Akindele,@funkeakindele,1.9M
15,TOB TWINS????,@theodigiebrothers,1.7M
16,Regina Daniels,@official_regina,1.6M
17,TACHA??????????,@symply_tacha,1.6M
18,Jackie Aina,@jackieaina,1.4M
19,danny_charme,@dannycharm,1.3M
20,Aphrica????,@mr.aphrica,1.3M
21,Rapsta D A D U,@rapstadadu,1.2M
22,???EN?,@adottben,1.1M
23,G A M O N??.,@tulisankatakata,1.1M
24,LAH MIKE ??,@thereallahmike,1.1M
25,?DI?I?,@isadixia,977.2K
26,aideh okoloise,@written.vision,974.7K
27,Ayra Starr,@ayrastarr,963.8K
28,Nefarie,@nefarieeee,959.7K
29,Ejiogu Dennis,@dennis_main,928.4K
30,Joy??,@khloes_gram,913.1K
31,Praise George,@realpraisegeorge,910.6K
32,itz_kado_official,@kado_art,904.3K
33,enzomk,@enzomk_,889.8K
34,Lizzygoldofficial,@lizzygold4real,876K
35,Babydoll??,@bellavicky__,862.9K
36,FlyOrb,@myflyorb,857.8K
37,Oluwabukunmi Adeaga,@kie_kie__,847.7K
38,Shubomi____,@shubomi____,833.2K
39,Maryann_officiall,@maryann_officiall,831.1K
40,Burna Boy,@burnaboyofficial,830.2K
41,Oumar_dr Apple Solution,@oumar_dr,827.4K
42,Bayo.beats,@bayo.beats,825.6K
43,sucrepea,@charityekezie,816.5K
44,MikeMizzle,@realmikemizzle,812.3K
45,Pulse Nigeria,@pulsenigeria247,810.2K
46,Naira Marley,@nairamarley,783.1K
47,Nigelclassy,@ny_gel007,763.1K
48,T?E?E?M?A?N?I?A????????,@teemania112,751.5K
49,Bolanle Ninowolo,@bolanleninowolo,722.9K
50,Drew Moemeka,@itsdrewmoemeka,722.1K
51,COKEMAN????,@godson_cokeman,721K
52,Johnson Emmanuel,@emmyjake,713.6K
53,Janemena,@janemenaa,690.1K
54,Jimez ??,@coreyjimez,664K
55,official_dacoster,@official_dacoster,647.5K
56,Bigwealth ??,@wealthcurrency,634.1K
57,Thiskasai,@thiskasai,630.8K
58,harrybanyanwu,@harrybanyanwu2,630.7K
59,Kelvin Johnson,@african_nickiminaj,627.6K
60,Nicki Minaj,@nickiminaj88909,624.2K
61,Lyrics Africa,@lyricsafrica,621.1K
62,Nedu Wazobia,@neduwazobia,615.1K
63,Alex...Unusual,@alex_unusual,607.9K
64,Brizy Emmanuel,@xploit_comedy,607.1K
65,nikki fe fe,@nikki_fe_fe,605.2K
66,sidneyeweka,@sidneyeweka,594.9K
